nom_rue,longueur_km,segments
Bocksdornweg,5.094917076413126,15
Wörthstraße,0.2503969009141908,2
Rechts der Alb,2.038689886318994,8
Koblenzer Straße,0.542432357511442,2
Speyerer Straße,23.878201093768165,3
Mainzer Straße,0.36860461890914614,2
Kehler Straße,1.059221594890243,4
Freiburger Straße,1.0094932386157844,2
Blütenweg,0.48089565713987076,3
Resedenweg,13.090325713645454,7
Wickenweg,0.2874133657148432,1
Irisweg,2.7334357030733574,2
Dr. Friedrich-Kappes-Brücke,0.029439376390225043,1
Im Eschwinkel,0.6398445168261572,3
Goldlackweg,0.1623756101577171,1
Konstanzer Straße,0.195904129647568,2
Sperberweg,50.06127681803028,5
Bussardweg,34.466945464625276,7
Falkenweg,50.414602701532985,7
Maria-Matheis-Straße,0.5239373759051472,2
Saarbrücker Straße,0.5254278427270163,2
Heckenweg,0.4015052373629373,2
Offenburger Straße,0.5940358918849358,2
Am Eichelgarten,0.34788804734576173,2
Am Rüppurrer Schloss,3.889234747854396,12
Primelweg,0.06714856077426375,1
Ligusterweg,0.06690913745489563,1
Mühlwiesenweg,0.7572515686196069,4
Dammerstockstraße,0.8462366720151728,3
Staudenweg,0.08544948416102345,1
Ostendorfstraße,0.15522100516180454,3
Rosenweg,74.30756290201674,12
Asternweg,45.01775953865786,9
Im Grün,38.97494526787089,4
Steinstraße,29.174836170954002,6
Links der Alb,2.602715609059663,7
Dreisamstraße,27.85947576900036,6
Mainstraße,28.872681546586794,6
Enzstraße,29.193276147909742,5
Acherstraße,0.37884646887734275,2
Oosstraße,0.17666756117238294,1
Feldbergplatz,0.30397056475046935,3
Blauenstraße,11.514727565311901,7
Tauberstraße,0.18090245393989798,1
Feldbergstraße,21.489769572844136,3
Kandelstraße,11.071202667159563,2
Wehrastraße,0.38170091978701004,1
Wutachstraße,0.2877379944163319,1
Kniebisstraße,1.1069077166446613,3
Donaustraße,29.613036275107856,4
Murgstraße,42.158602320533475,5
Lange Straße,4.557097133843454,5
Steinmannstraße,2.316985296385594,6
Andersenstraße,0.37531333047395377,1
Wichtelmännerweg,0.4216826577032351,1
Gebrüder-Grimm-Straße,0.2907673670792843,1
Däumlingweg,0.09102048325497993,1
Battstraße,15.221214491811512,18
Märchenring,1.1063666429643637,1
Kraichgaustraße,63.11353051710938,7
Ortenaustraße,0.21655545334260232,1
Heinrich-Heine-Ring,1.6291064393353965,3
Eduard-Mörike-Straße,0.19688041809272838,2
Graf-Eberstein-Straße,1.0305825823317774,2
Allmendstraße,27.26432565374484,9
Frauenalber Straße,1.4515358022252716,3
Schöllbronner Straße,0.4233585175650697,2
Riedstraße,1.0972219246074555,3
